10023.xml	p495	p2819	1525	t1,t5	<s n="99">Grütz mir hernn schultheis <persName ref="p6336" sent="to">Ruͤplin</persName>, <persName ref="p6338" sent="to">Sigmunden</persName>, <persName ref="p5906" sent="to">Mörickovernn</persName>, den praedicanten und ander bruͤder in Christo, und «die gnad gottes sy mitt dir».</s>
1021.xml	p3530	p495	1550	t2	<s n="4">Min herren <persName sent="from">graff Jörgen</persName> wil ich uff morn, so ich kumlichen zuͦ im komen kan, uwer und minß her burgemeyster <persName ref="p1888" sent="to">Laffederen</persName> fruntlichen gruͦtz anzeygen, ouch die ubelmögenheyt gemeltz herren burgemeysteren, welche an zwiffel im leyd sin wurtt.</s>
1021.xml	p3530	p495	1550	t2	<s n="6">Hiemitt bitt ich uch, mier in und <persName ref="p1419" sent="to">burgemeyster Haben</persName>, ouch meyster <persName ref="p7228" sent="to">Uͦlrichen Zwingli</persName>, und wär uch lieb sye, fast fruntlichen zuͦ gruͤtzen, gott den almächtigen truywlichen bittende, daß er uch, min gar erenden, lieben herren und vertruwten frund, in siner gnaden schirm und huͦtt aywiklich erhalthen welle.</s>
10234.xml	p8071	p495	1533	t2	<s n="25">Gruͤtzend mir üwer lieb <persName ref="p8051" sent="to">husfrowen</persName>, den <persName ref="p20449" sent="to">vatter</persName>, die <persName ref="p7042" sent="to">muͦter</persName>, och <persName ref="p1753" sent="to">Leon</persName>, und wer mir nachfragt.</s>
10297.xml	p1391	p495	1533	t3	<s n="66">Was ir meinind mitt dem Ave Maria ze sprechen zuͦ erinnerung der menschwerdung Christi, die doch sust alle predigen gehandlet wirt und wir den gruͦß und die wort für andre uff dem cantzel harfür zihend, superstitione carere non indicant hi, qui a vobis audiunt, quamvis doctrinam vestram sanam in hoc agnoscam.</s>
10302.xml	p8071	p495	1533	t9	<s n="14">Grützend mir <persName ref="p1753" sent="to">Leony</persName>, <persName ref="p8127" sent="to">Pellican</persName>, Maister <persName ref="p257" sent="to">Werny</persName>, <persName ref="p4349" sent="to">Karolstady</persName>, <persName ref="p6796" sent="to">Tumysen</persName>, <persName ref="p8437" sent="to">Erasme</persName> und gliepte bruͤder.</s>
10302.xml	p8071	p495	1533	t9	<s n="17">Grützend mir üwer lieb husfrowen und husgsind.</s>
10302.xml	p8071	p495	1533	t9	<s n="18">Der gruß von Costentz von üch, by zöger, ist mir worden.</s>
10325.xml	p8071	p495	1533	t10	<s n="14">Grützend uns baiden üwer lieb husfrowen und <persName ref="p1753" sent="to">Leon</persName>, alle bruͤder.</s>
10337.xml	p495	p8418	1533	t10	<s n="71">Gruͤtzend mir minen besondern geliepten herren burgermeister <persName ref="p8129" sent="to">Jac. Meyern</persName> und jungheren <persName ref="p5832" sent="to">Bernhartten Meyern</persName>, <persName ref="p8349" sent="to">Frygen</persName> etc.</s>
10356.xml	p2295	p495	1534	t9,t11	<s n="14">Min hußfrow und wir alle lassend üch alle vast grüessen.</s>
10356.xml	p2295	p495	1534	t9,t11	<s n="15">Grüessend unß üwer hußgsind, und wär üch lieb ist.</s>
10356.xml	p2295	p495	1534	t9,t11	<s n="19">Und grüeßend unß üwer müotter sünderlich, unsere liebe baß.</s>
10359.xml	p8071	p495	1534	t10,t11	<s n="15">Gruͦtzend mir üwer gantzes hus.</s>
10361.xml	p2829	p495	1534	t1,t10	<s n="13">Grussen mir eüwer husfrowen und min vogtt.</s>
10368.xml	p8071	p495	1534	t5,t10	<s n="13">Gruͤtzend mir üwer husfrowen und muͦter.</s>
10374.xml	p8330	p495	1534	t5,t11	<s n="4">Ich danck uch undertänigklich des fruntlichen gruͦß mit dem wortzeichen, so ein Venedisch geht ist, darzuͦ ouch aller andren guͦttätt von gott durch uch mir bewisen etc.</s>
10374.xml	p8330	p495	1534	t5,t11	<s n="10">Grießent mir uwer hußgesind und alle brieder.</s>
10394.xml	p1393	p495	1534	t2,t5	<s n="11">Ich bitt uch, mir zuͦ gruetzen den <persName ref="p3242" sent="to">cüster</persName>, Meister <persName ref="p8447" sent="to">Wernher</persName> und all guͦtt heren und gots fründ.</s>
10414.xml	p8071	p495	1534	t10	<s n="19">Gruͤtzend mir <persName ref="p1753" sent="to">Leonem</persName> und andre.</s>
10416.xml	p8071	p495	1534	t2,t10	<s n="20">Gruͤtzend mir drü wiber in üwerm hus.</s>
10427.xml	p4028	p495	1534	t1	<s n="4">Lieber Meister <persName ref="p495" sent="to">Heirich</persName>, gruzent mir üwery hußfrowen und üwery muͦtter und frow <persName ref="p7074" sent="to">Wirtzin</persName> und al nachberen und kuͦssend mir <persName ref="p7224" sent="to">Annely</persName> an ein begly von miner frowen wegen und von minan wegen und lend mir min huß anpffollen sin, wil ich um üch verdienen, und sind betten und sickent unß <persName ref="p7224">Annely</persName> gan Baden.</s>
10427.xml	p4028	p495	1534	t1	<s n="5">Lieber Meister, frow <persName>Murrerin</persName> duͦt üch vast gruͦtzen.</s>
10436.xml	p3873	p495	1534	t2,t5	<s n="16">Grützent mir unsere brüder, namlich min lieben glatter M. <persName ref="p8447" sent="to">Werner Steiner</persName>, <persName ref="p8127" sent="to">Conradum Pellicanum</persName> und insunderheit min heren burgenmeister <persName ref="p2816" sent="to">Röysten</persName>.</s>
10439.xml	p8071	p495	1534	t10	<s n="22">Gruͤtzend mir üwer lieb <persName ref="p8051" sent="to">husfrowen</persName>, <persName ref="p7042" sent="to">muter</persName>, <persName ref="p1753" sent="to">Leony</persName>, <persName ref="p6794" sent="to">Tumysen</persName> und ander.</s>
10442.xml	p495	p9708	1534		<s n="37">Also geburt jetzund ouch u.f.g., diß guͦt dem armen volk ze thuͦn, das inen regenten, obren, vögt, richter und amptlüt gesetzt, die gott lieb und sin wort werd habind, die aller zucht, frieden und frommkeit hold syend, die bösen schälk, gottes verachter, schender, schmeher, gwaltsamer und wuͤste unreine menschen hassind, die frommen, fridsamen, gotzförchtigen liebind, also früntlich den guten und gruͦsam den bösen syend, die stät und styff an guͦten gsatzten haltind, glych dem armen und rychen richtind, nach gstallt der sach, nit uß ansehen der personen oder bewegung der gaben, die ouch u.f.g. mitt iro unordnung by dem volk nit verhassdt machind, sunder die gantz redlich, trüw und fromm syend an gott, an u.f.g. und gantzer gmeind.</s>
10450.xml	p2278	p495	1534	t2	<s n="7">Gruͤsend mier Meister <persName ref="p8447" sent="to">Werny Steiner</persName> und ander guͦt heren und gsellen.</s>
10455.xml	p3241	p495	1534	t2,t3	<s n="14">Denne so wil ich uch biten, wellend uns die <persName ref="p7227" sent="to">Zwinglinn</persName> fast gruessen und ira sagen, ir sün <persName ref="p7232" sent="from">Wilhelm</persName> sygy frisch und gsund.</s>
10461.xml	p8071	p495	1534	t2,t5	<s n="15">Min husfrow last üch sampt üwer frowen, och namlich die muͦter, grüssen; och ych.</s>
10469.xml	p8071	p495	1534	t2	<s n="15">Pitt üch, mir minen hern maister <persName ref="p5935" sent="to">Kaspar</persName> und den goldschmid zuo grüssen.</s>
10469.xml	p8071	p495	1534	t2	<s n="17">Grützend uns uwer husfrowen.</s>
10480.xml	p8071	p495	1534	t2	<s n="13">Gruͤtzend uns üwer lieb <persName ref="p8051" sent="to">husfrowen</persName>, kind, vatter im Zürychberg etc.</s>
10483.xml	p8175	p495	1534	t10	<s n="19">Groiz myr dynen <persName ref="p527" sent="to">broeder</persName> und hueßfraw sere.</s>
10513.xml	p8071	p495	1534	t2,t5	<s n="12">Wir grüssend üwer lieb husgsind.</s>
10517.xml	p8129	p495	1534	t3	<s n="13">Grüessen mir den <persName ref="p1888" sent="to">vogt</persName> von Kyburg, Meister <persName ref="p1753" sent="to">Leo</persName>, den <persName ref="p8127" sent="to">Pellicanen</persName> und die bruder all.</s>
10536.xml	p495	p3067	1534	t2,t11	<s n="10">Gruͤtze mir alle geliepte bruͤder.</s>
1054.xml	p8440	p495	1550	t1	<s n="5">Gruͤß mir das müterlin etc.</s>
10544.xml	p4079	p495	1535	t6	<s n="45">Fragend den <persName ref="p8447" sent="to">Stainer</persName>, ob doch etwas dran sye, und grutzend mir den <persName ref="p8447" sent="to">Stainer</persName> ernstlich, och die <persName ref="p6690" sent="to">Stainerin</persName>, die mit uns badet, und ir volk alles.</s>
10544.xml	p4079	p495	1535	t6	<s n="53">Ich solt den sack nit ler wider schicken, so hab ich yez nichts ghept, darum hond am dancken verguͦt, und grutzend mir üwer junge und alte maisterin, ouch üwere kind, und bewar, schütz und schirme uch gott mit sinen gnaden.</s>
10546.xml	p262	p495	1535	t2	<s n="12">Nütt me, dan gott sig mitt üch, und gruͦz mir üwer folch.</s>
1055.xml	p654	p495	1550	t1,t2	<s n="9">Gruͤtzenn mir den <persName>Frantzen</persName> und sin husfrowen, und ich hab sy vast gebätten, sy wellind inen min tochter lassen bevolhen sin.</s>
10558.xml	p4021	p495	1535	t5,t11	<s n="71">Ouch min hertzlieben herren von Kyburg, der mir vyl guͦts hät thon, und sin eeliche frowen, syne kindt gryssend mir trilich und fruntlich.</s>
10563.xml	p4079	p495	1535	t5,t6	<s n="27">Grützend mir uwer muͦter und <persName ref="p8051" sent="to">husfrowen</persName> uffs aller trülichost, und beware uch gott mit allem, das uch lieb ist.</s>
10572.xml	p2830	p495	1535	t5	<s n="21">Begrützen mir üer volck.</s>
10578.xml	p8440	p495	1535	t5,t6	<s n="35">Grüß mir dein liebs ripp, dein muͦter, <persName ref="p1753" sent="to">Leonem Jude</persName> mitt allen prüderen.</s>
1058.xml	p8186	p495	1550	t11	<s n="24">Ich han eweri bryeff lassenn fil fromme leut sehen; dye grützen ewch allen und die ewernn.</s>
1058.xml	p8186	p495	1550	t11	<s n="28">Pytt ewch, welt in und allenn fidelibus Christi grüss.</s>
10588.xml	p8071	p495	1535	t2,t9	<s n="21">Und gruͤtzend mir frowen üwery und muͦter</s>
10589.xml	p8389	p495	1535	t5	<s n="6">Es grues wuich und alle, die mir in truiwen nachfragend, gott, unser heiland und einigen trost.</s>
10590.xml	p527	p495	1535	t2	<s n="10">Me so hat mir <persName ref="p7041" sent="from">Michel</persName> ein stundt grust; die gib dem schmidt und mach sy im in, das ers nit zerbrech.</s>
10603.xml	p8071	p495	1535	t2	<s n="38">Min <persName ref="p4248" sent="from">husfrow</persName> danckt üch fast, pittet, och ich, <persName ref="p8051" sent="from">uwre</persName>, och die <persName ref="p7042" sent="to">muͦter</persName>, zuͦ gruͤssen.</s>
10605.xml	p527	p495	1535	t1	<s n="11">Ich bin nun altag wol drin grust, das nit vil im spicher findt; nam cantabat vacuus coram latrone viator.</s>
10606.xml	p4030	p495	1535	t2,t5	<s n="15">Nach dem so lat üch junckher <persName ref="p2300" sent="from">Hainrich von Ulm</persName> vil guͦtz sagen und früntlichen gruͤtzen.</s>
10606.xml	p4030	p495	1535	t2,t5	<s n="16">Und gruͤtzen mir maister <persName ref="p5836" sent="to">Peter Mayer</persName> mitt aller dancksagung siner hilft und lieby halb.</s>
10616.xml	p8071	p495	1535		<s n="20">Min frow und ich gruͤssend üwer hus gar guͦt.</s>
10622.xml	p8071	p495	1535	t5,t11	<s n="22">Gruͤtzend uns beden üwer gantzes hus.</s>
10624.xml	p8071	p495	1535	t2	<s n="8">Gruͤssend miner husfrowen und mir üwer hus alles.</s>
10626.xml	p4079	p495	1535	t1,t6	<s n="10">Grutzen mir uwer <persName ref="p8051" sent="to">husfrowen</persName> und die <persName ref="p7042" sent="to">muͦter</persName> 1, ja yederman.</s>
10634.xml	p8071	p495	1535	t5,t10	<s n="35">Gruͤtzend mir minen lieben hern nachpurnn, hernn <persName ref="p2816" sent="to">Rösten</persName>, vor ain uns baiden üwer gantz hus, maister <persName ref="p5935" sent="to">Kasparn</persName>, <persName ref="p2815" sent="to">Rordorffem</persName>.</s>
10637.xml	p8330	p495	1535	t5,t11	<s n="16">Griessen wir alle brieder und guͦtt herren etc.</s>
10664.xml	p8427	p495	1535	t2	<s n="10">Gruͤß mir Maister <persName ref="p1753" sent="to">Löwen</persName> von alter kuntschafft wegen.</s>
10665.xml	p8071	p495	1535	t10	<s n="31">Bitt üch, mir in zuͦ gruͤssen.</s>
10665.xml	p8071	p495	1535	t10	<s n="34">Gruͤssend uns üwer hus, maistren <persName ref="p5935" sent="to">Kaspar</persName>, maister <persName ref="p1419" sent="to">Haben</persName>.</s>
10683.xml	p8071	p495	1535	t8,t10	<s n="25">Min <persName ref="p4248" sent="from">frow</persName> und ich gruͤssend üwer gantz hus und pittend von gott ernstlich, daß er üch nach sinem willen vor gaystlicher und liplicher pestelentz behuͤten welle.</s>
10683.xml	p8071	p495	1535	t8,t10	<s n="32">Gruͤtzend mir min her <persName ref="p2816" sent="to">Rösten</persName>, mayster <persName ref="p5935" sent="to">Kasparn</persName>, <persName ref="p5920" sent="to">Hans Müllern</persName>, <persName ref="p2815" sent="to">Rordorffern</persName>, ja hand ir der wyl.</s>
10692.xml	p8129	p495	1535	t5,t11	<s n="9">Gruessen mir <persName ref="p1753" sent="to">Leonem Jud</persName>, <persName ref="p8127" sent="to">Pellicanum</persName> und die brueder gemeinlich, den alten <persName ref="p21276" sent="to">abt</persName> von Wettingen, den <persName ref="p8447" sent="to">Steiner</persName> von Zug, ouch alle, so den herren von hertzen lieben, und, ists möglich, den <persName ref="p1888" sent="to">Laveter</persName> ouch.</s>
10698.xml	p8071	p495	1535	t1	<s n="25">Gruͤssend mir üwer hus, zway seltzamy wiber, üwer muͦtter und üwer frowen, wend wir ain am andren lassen.</s>
10703.xml	p8175	p495	1535	t4	<s n="35">Groetzt myr deine <persName ref="p8051" sent="to">hueßfraw</persName> und broeder <persName ref="p527" sent="to">Hansen</persName> sampt andern frunden tausentfalt.</s>
1071.xml	p8013,p654	p495	1550	t1,t2	<s n="7">Von miner tochter wegen thuͦnd, wie ir mir geschriben hand, und gruͤtzen mir den <persName>Frantzen</persName> und sin husgsind.</s>
10712.xml	p8071	p495	1535	t2,t10	<s n="21">Min <persName ref="p4248" sent="from">frow</persName>, och ich, lassend üwer <persName ref="p8051" sent="to">husfrowen</persName>, och lieby <persName ref="p7042" sent="to">muͦter</persName>, alle grutzen.</s>
10712.xml	p8071	p495	1535	t2,t10	<s n="23">Grüssend mir, ob mir etwar nachfragt.</s>
10718.xml	p8012	p495	1535	t2,t10	<s n="15">Grüssend mir guͦtt herrenn und gsellen.</s>
10721.xml	p8071	p495	1535	t2,t10	<s n="23">Was ir habend von Yenff oder sunst, berichten uns, und gruͤtzen uns baiden üwer <persName ref="p8051" sent="to">uxor</persName> et <persName ref="p7042" sent="to">mater</persName>.</s>
10721.xml	p8071	p495	1535	t2,t10	<s n="25">Ob ir minem hern <persName ref="p2816" sent="to">Rösten</persName> sagen Appenzeller halb, so gruͤtzen mir in.</s>
10721.xml	p8071	p495	1535	t2,t10	<s n="28">Es begert an mich ain fürnämer, mitt namen <persName ref="p20542" sent="from">Kaspar Zollikoffer</persName>, alt seckelmaister, der mitt <persName ref="p8049">Vadiano</persName> zuͦ Bremgarten bott gewessen und in üwerm hus gsin, sagt vyl früntschaft, üch sinen gruͦss zuͦ schribenn.</s>
10738.xml	p8071	p495	1535	t10	<s n="29">Gruͤssend mir frowen och mir alles hus, och min her <persName ref="p2816" sent="to">Rösten</persName>, maister <persName ref="p5935" sent="to">Kasparn</persName> und ander.</s>
10744.xml	p8071	p495	1535	t2	<s n="21">Gruͤssend uns üwer hus.</s>
10749.xml	p8036	p495	1536	t2	<s n="5">Nit me, dann griessen mir mein hertzliebe bese, uwer husfrouwen.</s>
10760.xml	p8012	p495	1536	t10	<s n="18">Grüssend mir <persName ref="p1753" sent="to">Meyster Lew</persName> und den <persName ref="p1888" sent="to">vogtt von Kyburg</persName> sampt andren guͦten herren und gesellen.</s>
10761.xml	p1044	p495	1536	t5	<s n="14">Grützend uns M. <persName ref="p1753" sent="to">Löwen</persName> und <persName ref="p6794" sent="to">Rudolphum Tumysen</persName>.</s>
10767.xml	p8012	p495	1536	t2,t10	<s n="19">Unnsernn gruͦtz zuͦvor, ersammen, lieben, getruwen.</s>
10785.xml	p8071	p495	1536	t4,t10	<s n="31">Schickend mir sy zuͦ und grüssend uns beden uwer <persName ref="p477" sent="to">kintpetern</persName>, die <persName ref="p7042" sent="to">muͦter</persName> und volck, maister <persName ref="p5935" sent="to">Kaspar</persName>, den trüwen, und andere.</s>
10788.xml	p8012	p495	1536	t2,t10	<s n="3">"Min früntlich gruͦss und alle guͦtwilligkeit zuͦvor.</s>
10788.xml	p8012	p495	1536	t2,t10	<s n="35">Nit me, dann got halt üch in siner huͦt, und gruͤssend mir <persName ref="p1753" sent="to">Meister Löwenn</persName> und den vogt vonn Kyburg, dessglychenn, wer üch lieb sye.</s>
10790.xml	p8012	p495	1536	t10	<s n="3">Lieber Meyster <persName ref="p495" sent="to">Heinrich</persName>, es hat mier ein guͦter fründ und bruͦder geschriben; sick ich üch die koppi zuͦ: "Min frünttlich gruͦs und willing dienst sige üch von mier alle zit bereitt.</s>
10790.xml	p8012	p495	1536	t10	<s n="19">Grüssen uns aller üwer husfrow und üwer kind</s>
10790.xml	p8012	p495	1536	t10	<s n="29">Ich danck üch über handlung, die ier mier hand gesick, und den schryber dar zu und über guͦten rim, und dancken mier Meister <persName ref="p8447" sent="from">Steiner</persName> ouch und sinen, und gruesend mier Meister <persName ref="p1753" sent="to">Leüwen</persName> und al guͦt brüeder.</s>
10795.xml	p495	p8178	1536	t2,t10	<s n="13">Grützend mir doctor <persName ref="p4079" sent="to">Hansen</persName>, junker <persName ref="p4082" sent="to">Cunradten</persName> und andere liebe herren und bruͤder.</s>
10812.xml	p3067	p495	1536	t5	<s n="12">Es grüesßt üch und all uwer hußfölckli myn früntlicher, lieber gmachel.</s>
10813.xml	p8071	p495	1536	t2,t4	<s n="16">Wir baide begered, daß ir uns uxor, mater, puer, virgo und alles grüssend.</s>
10819.xml	p8071	p495	1536	t10	<s n="12">Mit tusent grüssen von uns beden, üwer demy etc. und andre.</s>
10823.xml	p2825	p495	1536	t5	<s n="15">Grüsendt mir den Meyster <persName ref="p1753" sent="to">Löuwen</persName> unnd alle, die uch lieb sinnd.</s>
10826.xml	p2813	p495	1536	t2,t5	<s n="13">Grüssen mir <persName ref="p1753" sent="to">Meister Leuwen</persName>, minen truwen preceptorem <persName ref="p8171" sent="to">Theodorum</persName> et Pellicanum und andere predicanten und herren.</s>
10829.xml	p8071	p495	1536	t2	<s n="12">Grützend uns beden uwer gantzes hus, <persName ref="p2815" sent="to">Rordorffern</persName> und alle gliepten etc.</s>
10837.xml	p8012	p495	1536	t1,t2	<s n="14">Grüesent mier den vogt von Kibbürg und <persName ref="p1753" sent="to">Meister Leüw</persName></s>
1084.xml	p1278	p495	1550	t4,t10	<s n="19">Hie schickt myn hußfrow uwernn mit eynem gruͦß ein par messer zuͦ eim meskram, bittet sy, sy welle verguͦtt nemen mit einen kleynen gabe etc.</s>
10845.xml	p8071	p495	1536	t5,t10	<s n="17">Mit grüss von uns beden vos omnes, domus, her <persName ref="p2816" sent="to">Rösten</persName>, maister <persName ref="p5935" sent="to">Kasparn</persName>, <persName ref="p2815" sent="to">Rordorffern</persName>, andre.</s>
10849.xml	p8129	p495	1536	t5	<s n="11">Grüessen mir <persName ref="p1753" sent="to">Meister Löwen</persName>, <persName ref="p8127" sent="to">Pellicanen</persName>, <persName ref="p8171" sent="to">Theoderen</persName> und min <persName ref="p21276" sent="to">herren</persName> von Wettingen und die bruͤder all.</s>
10859.xml	p8012	p495	1536	t2,t3	<s n="13">Nit me, dan grüesen mier den <persName ref="p1888" sent="to">vogt von Kibbürg</persName> und ander guͦt geselen.</s>
1090.xml	p8186	p495	1550	t7	<s n="10">Eß grußend ewch ale Christi filii etc.</s>
1090.xml	p8186	p495	1550	t7	<s n="11">Grußend unß alle dye denn herren lieb habennd.</s>
10900.xml	p8443	p495	1536	t10	<s n="17">Es gruͤtzt üch <persName ref="p8412" sent="from">Caspar</persName>, <persName ref="p8428" sent="from">Rellican</persName>, min <persName ref="p2827" sent="from">bruͦder</persName> unnd ander guͦt gsellen.</s>
10905.xml	p8012	p495	1536	t2	<s n="13">Und grüesen mier her <persName ref="p1888" sent="to">Lafider</persName> und <persName ref="p20538" sent="to">Heinrich</persName> und meister <persName ref="p1753" sent="to">Leüw</persName> und ander guͦt bruͦder.</s>
1091.xml	p495	p8055	1550	t10	<s n="25">H. <persName>Petern Schuͤren</persName> gruͤssend mir; dem wil ich bald selbs schryben.</s>
10943.xml	p8330	p495	1536	t2,t4	<s n="10">Grießent mir den <persName ref="p1753" sent="to">Leonen</persName>, <persName ref="p8171" sent="to">Theodorum</persName> und omnes alios etc.</s>
10967.xml	p495	p8418	1536	t4,t6	<s n="53">Es gruͤtzt üch <persName ref="p1753" sent="from">Leo</persName>.</s>
10967.xml	p495	p8418	1536	t4,t6	<s n="54">Grützend uns <persName ref="p1365" sent="to">Grynaeum</persName>, <persName ref="p4349" sent="to">Carolstadium</persName>, den stattschryber und ander lieb herren und bruͤder, vorab herrn <persName ref="p8129" sent="to">Jacoben Meyern</persName> und <persName ref="p5832" sent="to">Bernhart Meyern</persName> etc.</s>
11000.xml	p495	p2275	1537	t6	<s n="6">Es gruͤtzt dich und din liebe hußfrouwen min gliepter bruͦder <persName ref="p1753" sent="from">Leo Jude</persName>, din vetter.</s>
11035.xml	p495	p1888	1537	t2,t11	<s n="6">Gruͤtzend mir den herrn schuldheyssen von Bernn etc.</s>
11042.xml	p8129	p495	1537	t10	<s n="18">Grussen mir Meister <persName ref="p1753" sent="to">Leo</persName>, <persName ref="p8127" sent="to">Pellican</persName>, die brueder gemeinlich und alle die, so den herren von hertzen lieben.</s>
11058.xml	p8071	p495	1537	t1,t10	<s n="8">Das sagen minem her <persName ref="p2816" sent="to">Rösten</persName> mitsampt minem gruͦß.</s>
11058.xml	p8071	p495	1537	t1,t10	<s n="11"><persName ref="p4248" sent="from">Min frow</persName> laßt uch alle gruͤssen, och ich, och unser son.</s>
11060.xml	p1394	p495	1537	t2,t3	<s n="19">Maister <persName ref="p14" sent="to">Hansen Abiberg</persName>, <persName ref="p6539" sent="to">Heinrich Schwitzer</persName>, die thuͦnd grüssen in meinem namen.</s>
11079.xml	p495	p8418	1537	t2	<s n="35">Grützend mir inn.</s>
11084.xml	p3873	p495	1537	t2	<s n="21">Grützend mir mine günstigen herren und gebruͤder, <persName ref="p8127" sent="to">Pellicanum</persName>, <persName ref="p1753" sent="to">Leonem</persName> und insunders Meister <persName ref="p8447" sent="to">Werner Steiner</persName>.</s>
11093.xml	p8071	p495	1537	t2	<s n="3">Die ir och uns allen alle zum früntlichosten grüssen sellen, zuͦsampt unserm son etc.</s>
11107.xml	p4079	p495	1537	t5	<s n="11">Er lat uch ernstlich grutzen.</s>
11107.xml	p4079	p495	1537	t5	<s n="13">Und hat sich kurtzlich begeben, das ain junger hie gwesen, mit namen <persName ref="p8398" sent="from">Clauserus</persName>, der mir ain grutz bracht vom <persName ref="p8418" sent="from">Myconio</persName>.</s>
11113.xml	p8129	p495	1537	t5	<s n="16">Gruessen mir Meister <persName ref="p1753" sent="to">Löwen</persName>, <persName ref="p8127" sent="to">Pellicanen</persName> und die brüeder gemeinlich, ouch den herren <persName ref="p1888" sent="to">Laventher</persName> und den alten <persName ref="p21276" sent="to">herren</persName> von Wettingen.</s>
11133.xml	p8129	p495	1538	t10	<s n="12">Gruͤssen mir den herrn <persName ref="p1888" sent="to">Laventher</persName>, <persName ref="p8127" sent="to">Pellican</persName> und Meister <persName ref="p1753" sent="to">Löwen</persName>; wünsch inen im herren vyl guter jar.</s>
11144.xml	p4100	p495	1538	t2,t4	<s n="8">Gruͤssennd mir üwery hußfrow, min bässly, und schwager <persName ref="p527" sent="to">Hans</persName>.</s>
11153.xml	p8129	p495	1538	t2,t3	<s n="10">Eüch hiemit der gnad gottes trüwlich bevelhende, grüessen mir Meister <persName ref="p1753" sent="to">Leowen</persName>, den <persName ref="p8127" sent="to">Pellican</persName> und die brüder gemeinlich.</s>
11153.xml	p8129	p495	1538	t2,t3	<s n="12">Sagen herren <persName ref="p1888" sent="to">Laventher</persName> minen gruͦß.</s>
